YEAR,BiMonth,MEI
1998,MJ,0.37
1998,JJ,-1.42
1998,JA,-1.74
1998,AS,-1.31
1998,SO,-1.21
1998,ON,-1.3
1998,ND,-1.25
1999,DJ,-1.26
1999,JF,-1.18
1999,FM,-1.11
1999,MA,-1.17
1999,AM,-1.36
1999,MJ,-1.26
1999,JJ,-1.19
1999,JA,-1.07
1999,AS,-1.17
1999,SO,-1.31
1999,ON,-1.33
1999,ND,-1.43
2000,DJ,-1.26
2000,JF,-1.27
2000,FM,-1.36
2000,MA,-0.93
2000,AM,-0.97
2000,MJ,-1.14
2000,JJ,-0.58
2000,JA,-0.08
2000,AS,-0.36
2000,SO,-0.55
2000,ON,-0.91
2000,ND,-0.8
2001,DJ,-0.82
2001,JF,-0.87
2001,FM,-0.79
2001,MA,-0.61
2001,AM,-0.58
2001,MJ,-0.71
2001,JJ,-0.02
2001,JA,0.34
2001,AS,-0.07
2001,SO,-0.25
2001,ON,-0.32
2001,ND,0.02
2002,DJ,0.07
2002,JF,-0.26
2002,FM,-0.2
2002,MA,-0.36
2002,AM,-0.1
2002,MJ,0.4
2002,JJ,0.42
2002,JA,0.97
2002,AS,0.84
2002,SO,0.79
2002,ON,0.76
2002,ND,0.86
2003,DJ,0.8
2003,JF,0.62
2003,FM,0.53
2003,MA,-0.08
2003,AM,-0.57
2003,MJ,-0.07
2003,JJ,0.01
2003,JA,0.01
2003,AS,0.14
2003,SO,0.26
2003,ON,0.29
2003,ND,0.1
2004,DJ,0.16
2004,JF,-0.04
2004,FM,-0.44
2004,MA,-0.23
2004,AM,-0.44
2004,MJ,-0.34
2004,JJ,0.43
2004,JA,0.74
2004,AS,0.54
2004,SO,0.34
2004,ON,0.51
2004,ND,0.51
2005,DJ,0.08
2005,JF,0.61
2005,FM,0.82
2005,MA,0.13
2005,AM,0.18
2005,MJ,0.2
2005,JJ,-0.02
2005,JA,-0.01
2005,AS,-0.05
2005,SO,-0.71
2005,ON,-0.75
2005,ND,-0.73
2006,DJ,-0.68
2006,JF,-0.5
2006,FM,-0.61
2006,MA,-0.84
2006,AM,-0.43
2006,MJ,-0.23
2006,JJ,0.11
2006,JA,0.56
2006,AS,0.63
2006,SO,0.68
2006,ON,0.9
2006,ND,0.59
2007,DJ,0.62
2007,JF,0.39
2007,FM,-0.22
2007,MA,-0.36
2007,AM,-0.44
2007,MJ,-0.86
2007,JJ,-0.77
2007,JA,-0.93
2007,AS,-1.1
2007,SO,-1.14
2007,ON,-1.13
2007,ND,-1.22
2008,DJ,-1.08
2008,JF,-1.27
2008,FM,-1.54
2008,MA,-1.13
2008,AM,-0.98
2008,MJ,-0.86
2008,JJ,-0.87
2008,JA,-1.08
2008,AS,-1.07
2008,SO,-1.12
2008,ON,-1.05
2008,ND,-1.05
2009,DJ,-1.01
2009,JF,-0.85
2009,FM,-0.94
2009,MA,-0.81
2009,AM,-0.72
2009,MJ,-0.06
2009,JJ,0.49
2009,JA,0.52
2009,AS,0.39
2009,SO,0.56
2009,ON,1.05
2009,ND,0.96
2010,DJ,0.93
2010,JF,1.28
2010,FM,1.31
2010,MA,0.49
2010,AM,-0.17
2010,MJ,-1.33
2010,JJ,-2.43
2010,JA,-2.4
2010,AS,-2.28
2010,SO,-2.18
2010,ON,-2.04
2010,ND,-1.91
2011,DJ,-1.83
2011,JF,-1.63
2011,FM,-1.79
2011,MA,-1.74
2011,AM,-1.29
2011,MJ,-1.08
2011,JJ,-0.86
2011,JA,-0.88
2011,AS,-1.16
2011,SO,-1.37
2011,ON,-1.21
2011,ND,-1.24
2012,DJ,-1.08
2012,JF,-0.67
2012,FM,-0.59
2012,MA,-0.43
2012,AM,-0.35
2012,MJ,-0.28
2012,JJ,0.3
2012,JA,-0.06
2012,AS,-0.32
2012,SO,-0.22
2012,ON,-0.07
2012,ND,-0.07
2013,DJ,-0.05
2013,JF,-0.07
2013,FM,-0.14
2013,MA,-0.37
2013,AM,-0.71
2013,MJ,-1.18
2013,JJ,-0.85
2013,JA,-0.5
2013,AS,-0.38
2013,SO,-0.16
2013,ON,-0.18
2013,ND,-0.35
2014,DJ,-0.51
2014,JF,-0.43
2014,FM,-0.08
2014,MA,-0.16
2014,AM,-0.18
2014,MJ,-0.01
2014,JJ,0.32
2014,JA,0.16
2014,AS,-0.15
2014,SO,0.07
2014,ON,0.34
2014,ND,0.34
2015,DJ,0.23
2015,JF,0.05
2015,FM,0.13
2015,MA,0.35
2015,AM,0.96
2015,MJ,1.85
2015,JJ,1.73
2015,JA,1.92
2015,AS,2.21
2015,SO,2.11
2015,ON,1.88
2015,ND,1.9
2016,DJ,1.94
2016,JF,1.81
2016,FM,1.31
2016,MA,1.33
2016,AM,1.26
2016,MJ,0.36
2016,JJ,-0.51
2016,JA,-0.28
2016,AS,-0.34
2016,SO,-0.6
2016,ON,-0.51
2016,ND,-0.34
2017,DJ,-0.41
2017,JF,-0.41
2017,FM,-0.58
2017,MA,-0.21
2017,AM,0.17
2017,MJ,-0.29
2017,JJ,-0.7
2017,JA,-0.77
2017,AS,-0.8
2017,SO,-0.63
2017,ON,-0.63
2017,ND,-0.73
2018,DJ,-0.77
2018,JF,-0.7
2018,FM,-0.79
2018,MA,-1.29
2018,AM,-0.91
2018,MJ,-0.51
2018,JJ,-0.17
2018,JA,0.36
2018,AS,0.52
2018,SO,0.41
2018,ON,0.26
2018,ND,0.13
2019,DJ,0.08
2019,JF,0.52
2019,FM,0.77
2019,MA,0.33
2019,AM,0.26
2019,MJ,0.35
2019,JJ,0.24
2019,JA,0.3
2019,AS,0.15
2019,SO,0.27
2019,ON,0.45
2019,ND,0.41
2020,DJ,0.29
2020,JF,0.3
2020,FM,0.15
2020,MA,-0.11
2020,AM,-0.24
2020,MJ,NA
2020,JJ,NA
2020,JA,NA
2020,AS,NA
2020,SO,NA
2020,ON,NA
2020,ND,NA
